titulo_id,ano_mes,data_vencimento,tipo,obra_id,cliente_id,faixa_id,dias_atraso,valor_atrasado,status_titulo
1001,202401,2024-01-05,CR,1,101,3,74,45220.00,Critico
1002,202401,2024-01-17,CR,2,102,4,126,39875.40,Critico
1003,202401,2024-01-20,CR,3,103,2,48,22150.00,Atencao
1004,202401,2024-01-28,CR,4,104,1,21,12984.90,Controlado
1005,202402,2024-02-03,CR,5,105,1,18,6000.00,Controlado
1006,202403,2024-03-06,CR,1,101,4,142,62000.00,Critico
1007,202403,2024-03-11,CR,2,102,3,77,48500.00,Atencao
1008,202403,2024-03-15,CR,6,106,2,58,35000.00,Atencao
1009,202403,2024-03-26,CR,7,107,1,28,84280.00,Controlado
1010,202404,2024-04-04,CR,8,108,2,45,82820.00,Atencao
1011,202405,2024-05-03,CR,4,104,1,24,38370.00,Controlado
1012,202406,2024-06-05,CR,1,101,5,233,220000.00,Critico
1013,202406,2024-06-12,CR,2,102,4,118,195000.00,Critico
1014,202406,2024-06-14,CR,3,103,3,88,142000.00,Atencao
1015,202406,2024-06-20,CR,6,106,4,102,280000.00,Critico
1016,202406,2024-06-27,CR,8,108,5,250,603000.00,Critico
1017,202407,2024-07-09,CR,5,105,1,19,24480.00,Controlado
1018,202408,2024-08-05,CR,1,101,4,111,210000.00,Critico
1019,202408,2024-08-12,CR,2,102,3,80,170000.00,Atencao
1020,202408,2024-08-16,CR,3,103,2,54,145000.00,Atencao
1021,202408,2024-08-23,CR,7,107,4,95,230000.00,Critico
1022,202408,2024-08-28,CR,8,108,5,196,465000.00,Critico
1023,202409,2024-09-06,CR,1,101,3,87,192000.00,Atencao
1024,202409,2024-09-13,CR,4,104,2,59,130500.00,Atencao
1025,202409,2024-09-21,CR,5,105,1,26,97810.00,Controlado
1026,202410,2024-10-08,CR,2,102,2,41,132100.00,Atencao
1027,202410,2024-10-17,CR,6,106,1,29,98050.00,Controlado
1028,202410,2024-10-29,CR,8,108,3,69,160000.00,Atencao
1029,202411,2024-11-07,CR,3,103,2,35,74160.00,Atencao
1030,202411,2024-11-18,CR,4,104,1,22,50000.00,Controlado
1031,202411,2024-11-26,CR,7,107,3,62,60000.00,Atencao
1032,202412,2024-12-06,CR,1,101,4,123,211320.00,Critico
1033,202412,2024-12-12,CR,2,102,3,90,139000.00,Atencao
1034,202412,2024-12-21,CR,5,105,2,58,98000.00,Atencao
1035,202412,2024-12-27,CR,8,108,4,119,163000.00,Critico
1036,202501,2025-01-09,CR,1,101,3,66,98000.00,Atencao
1037,202501,2025-01-15,CR,2,102,4,104,121500.00,Critico
1038,202501,2025-01-23,CR,3,103,2,44,74500.00,Atencao
1039,202501,2025-01-28,CR,4,104,1,23,68200.00,Controlado
1040,202502,2025-02-06,CR,1,101,4,132,186400.00,Critico
1041,202502,2025-02-11,CR,2,102,3,91,121900.00,Critico
1042,202502,2025-02-17,CR,3,103,3,67,97200.00,Atencao
1043,202502,2025-02-24,CR,4,104,2,39,51000.00,Controlado
1044,202502,2025-02-26,CR,6,106,4,139,28300.00,Critico
